"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 17 10:12:28 UTC 2025","Wed Dec 17 10:12:28 UTC 2025","17","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","listFrontendEndpoints_shouldFindEntrypointsInSpecTemplate","listFrontendEndpoints_shouldFindEntrypointsInSpecTemplate()",""
"passed","Wed Dec 17 10:12:22 UTC 2025","Wed Dec 17 10:12:22 UTC 2025","17","","com.reply.arena.bridge.unit.service.InsuranceConfigurationIdempotentServiceTest","","com.reply.arena.bridge.unit.service.InsuranceConfigurationIdempotentServiceTest","shouldThrowRuntimeWhenSavingRecordFails","shouldThrowRuntimeWhenSavingRecordFails()",""
"passed","Wed Dec 17 10:12:59 UTC 2025","Wed Dec 17 10:12:59 UTC 2025","76","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","createInsuranceConfiguration_shouldFailValidation_whenContentBlank","createInsuranceConfiguration_shouldFailValidation_whenContentBlank()",""
"passed","Wed Dec 17 10:12:59 UTC 2025","Wed Dec 17 10:12:59 UTC 2025","39","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","updateInsuranceConfiguration_shouldNotOverwriteQuoteWhenNull","updateInsuranceConfiguration_shouldNotOverwriteQuoteWhenNull()",""
"passed","Wed Dec 17 10:12:46 UTC 2025","Wed Dec 17 10:12:46 UTC 2025","35","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","getInsuranceConfigurations_ByUser_ReturnsList","getInsuranceConfigurations_ByUser_ReturnsList()",""
"passed","Wed Dec 17 10:12:47 UTC 2025","Wed Dec 17 10:12:47 UTC 2025","15","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerSecurityTest","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerSecurityTest","whenAccessGetQuoteWithoutAuth_thenOk","whenAccessGetQuoteWithoutAuth_thenOk()",""
"passed","Wed Dec 17 10:12:47 UTC 2025","Wed Dec 17 10:12:47 UTC 2025","12","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerSecurityTest","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerSecurityTest","whenAccessProtectedEndpointsWithoutAuth_thenUnauthorized","whenAccessProtectedEndpointsWithoutAuth_thenUnauthorized()",""
"passed","Wed Dec 17 10:12:28 UTC 2025","Wed Dec 17 10:12:28 UTC 2025","20","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","listFrontendEndpoints_shouldHandleInvalidManifests","listFrontendEndpoints_shouldHandleInvalidManifests(String, String, String) Malformed manifest JSON",""
"passed","Wed Dec 17 10:12:44 UTC 2025","Wed Dec 17 10:12:45 UTC 2025","6","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","getInsuranceConfigurationById_ReturnsEntity","getInsuranceConfigurationById_ReturnsEntity()",""
"passed","Wed Dec 17 10:12:46 UTC 2025","Wed Dec 17 10:12:46 UTC 2025","8","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","deleteInsuranceConfiguration_NotFound_Returns404","deleteInsuranceConfiguration_NotFound_Returns404()",""
