"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 18 12:44:45 UTC 2025","Thu Dec 18 12:44:45 UTC 2025","69","Header Component","","","","","logout button triggers keycloak.logout",""
"passed","Thu Dec 18 12:44:37 UTC 2025","Thu Dec 18 12:44:37 UTC 2025","42","StoredRequestsPage","","","","","rendert gespeicherte Anfragen",""
"passed","Thu Dec 18 12:44:04 UTC 2025","Thu Dec 18 12:44:05 UTC 2025","250","TAA","","","","","invalid data --> stays on tab 1",""
"passed","Thu Dec 18 12:44:55 UTC 2025","Thu Dec 18 12:44:55 UTC 2025","16","parseStoredRequestXML","","","","","parses valid XML correctly",""
"passed","Thu Dec 18 12:44:24 UTC 2025","Thu Dec 18 12:44:24 UTC 2025","613","TAA","","","","","fetch wird NICHT ausgeführt, wenn Validierung fehlschlägt",""
"passed","Thu Dec 18 12:44:29 UTC 2025","Thu Dec 18 12:44:29 UTC 2025","179","TAA","","","","","handleSave: ohne Token --> kein navigate()",""
"passed","Thu Dec 18 12:44:17 UTC 2025","Thu Dec 18 12:44:19 UTC 2025","2278","TAA","","","","","Snackbar erscheint nach erfolgreichem Speichern",""
"passed","Thu Dec 18 12:44:44 UTC 2025","Thu Dec 18 12:44:45 UTC 2025","209","Header Component","","","","","clicking bookmarks button navigates correctly",""
"passed","Thu Dec 18 12:45:01 UTC 2025","Thu Dec 18 12:45:01 UTC 2025","142","TabPanel Component","","","","","has correct accessibility attributes",""
"passed","Thu Dec 18 12:44:48 UTC 2025","Thu Dec 18 12:44:48 UTC 2025","108","NumberedTabs Component","","","","","has correct accessibility attributes",""
"passed","Thu Dec 18 12:44:48 UTC 2025","Thu Dec 18 12:44:48 UTC 2025","11","NumberedTabs Component","","","","","renders provided children in tab panels",""
"passed","Thu Dec 18 12:44:27 UTC 2025","Thu Dec 18 12:44:29 UTC 2025","1933","TAA","","","","","shouldValidateTab: wenn targetTab < currentTab wird keine Validierung durchgeführt",""
"passed","Thu Dec 18 12:44:56 UTC 2025","Thu Dec 18 12:44:56 UTC 2025","0","validation utilities","validateGeburtsdatum","","","","returns error for null value",""
"passed","Thu Dec 18 12:44:55 UTC 2025","Thu Dec 18 12:44:55 UTC 2025","2","parseStoredRequestXML","","","","","returns empty fields if nodes are missing",""
"passed","Thu Dec 18 12:44:39 UTC 2025","Thu Dec 18 12:44:39 UTC 2025","305","StoredRequestsPage","","","","","Error Snackbar schließt über onClose",""
