"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 16 10:42:16 UTC 2025","Tue Dec 16 10:42:22 UTC 2025","6185","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","listFrontendEndpoints_shouldThrowException_whenAppsListFails","listFrontendEndpoints_shouldThrowException_whenAppsListFails()",""
"passed","Tue Dec 16 10:42:32 UTC 2025","Tue Dec 16 10:42:32 UTC 2025","7","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","deleteInsuranceConfiguration_DeletesEntity","deleteInsuranceConfiguration_DeletesEntity()",""
"passed","Tue Dec 16 10:42:16 UTC 2025","Tue Dec 16 10:42:16 UTC 2025","16","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","listFrontendEndpoints_shouldHandleInvalidManifests","listFrontendEndpoints_shouldHandleInvalidManifests(String, String, String) Non-array manifests field",""
"passed","Tue Dec 16 10:42:09 UTC 2025","Tue Dec 16 10:42:09 UTC 2025","20","","com.reply.arena.bridge.unit.service.InsuranceConfigurationIdempotentServiceTest","","com.reply.arena.bridge.unit.service.InsuranceConfigurationIdempotentServiceTest","shouldCreateWhenNoPreviousRecordExists","shouldCreateWhenNoPreviousRecordExists()",""
"passed","Tue Dec 16 10:42:33 UTC 2025","Tue Dec 16 10:42:33 UTC 2025","11","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","updateInsuranceConfiguration_ReturnsUpdatedDto","updateInsuranceConfiguration_ReturnsUpdatedDto()",""
"passed","Tue Dec 16 10:42:48 UTC 2025","Tue Dec 16 10:42:48 UTC 2025","337","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","createInsuranceConfiguration_shouldAllowNullQuote","createInsuranceConfiguration_shouldAllowNullQuote()",""
"passed","Tue Dec 16 10:42:23 UTC 2025","Tue Dec 16 10:42:23 UTC 2025","653","","com.reply.arena.bridge.unit.service.ArgoCdAuthServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdAuthServiceTest","getArgoCDToken_shouldSendCorrectAuthenticationRequest","getArgoCDToken_shouldSendCorrectAuthenticationRequest()",""
"passed","Tue Dec 16 10:42:16 UTC 2025","Tue Dec 16 10:42:16 UTC 2025","25","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","listFrontendEndpoints_shouldHandleInvalidManifests","listFrontendEndpoints_shouldHandleInvalidManifests(String, String, String) Malformed manifest JSON",""
"passed","Tue Dec 16 10:42:49 UTC 2025","Tue Dec 16 10:42:49 UTC 2025","40","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","getInsuranceConfigurationById_shouldReturnEntity","getInsuranceConfigurationById_shouldReturnEntity()",""
"passed","Tue Dec 16 10:42:16 UTC 2025","Tue Dec 16 10:42:16 UTC 2025","14","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","listFrontendEndpoints_shouldHandleInvalidManifests","listFrontendEndpoints_shouldHandleInvalidManifests(String, String, String) Missing manifests field",""
