"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 18 10:02:26 UTC 2025","Thu Dec 18 10:02:26 UTC 2025","2","","eu.fincon.biproadapter.provider.norm421.arena.validation.validator.GetQuoteValidatorIT","","eu.fincon.biproadapter.provider.norm421.arena.validation.validator.GetQuoteValidatorIT","","GetQuoteValidatorIT",""
"passed","Thu Dec 18 10:02:23 UTC 2025","Thu Dec 18 10:02:23 UTC 2025","6","","eu.fincon.biproadapter.provider.norm421.arena.mapping.CustomMappingAdapterTest","","eu.fincon.biproadapter.provider.norm421.arena.mapping.CustomMappingAdapterTest","testGetFile","testGetFile()",""
"passed","Thu Dec 18 10:02:23 UTC 2025","Thu Dec 18 10:02:23 UTC 2025","5","","eu.fincon.biproadapter.provider.norm421.arena.validation.CustomRequestValidatorTest","","eu.fincon.biproadapter.provider.norm421.arena.validation.CustomRequestValidatorTest","testValidateSetOrderQualified","testValidateSetOrderQualified()",""
"passed","Thu Dec 18 10:02:23 UTC 2025","Thu Dec 18 10:02:23 UTC 2025","9","","eu.fincon.biproadapter.provider.norm421.arena.validation.validator.GetQuoteValidatorTest","","eu.fincon.biproadapter.provider.norm421.arena.validation.validator.GetQuoteValidatorTest","testValidRequest","testValidRequest()",""
"passed","Thu Dec 18 10:02:21 UTC 2025","Thu Dec 18 10:02:22 UTC 2025","1321","","eu.fincon.biproadapter.provider.norm421.arena.mapping.mapper.GetQuoteMapperImplTest","","eu.fincon.biproadapter.provider.norm421.arena.mapping.mapper.GetQuoteMapperImplTest","testValidRequest","testValidRequest()",""
"passed","Thu Dec 18 10:02:22 UTC 2025","Thu Dec 18 10:02:23 UTC 2025","115","","eu.fincon.biproadapter.provider.norm421.arena.mapping.CustomMappingAdapterTest","","eu.fincon.biproadapter.provider.norm421.arena.mapping.CustomMappingAdapterTest","testGetOffer","testGetOffer()",""
"passed","Thu Dec 18 10:02:23 UTC 2025","Thu Dec 18 10:02:23 UTC 2025","8","","eu.fincon.biproadapter.provider.norm421.arena.validation.CustomRequestValidatorTest","","eu.fincon.biproadapter.provider.norm421.arena.validation.CustomRequestValidatorTest","testValidateGetQoute","testValidateGetQoute()",""
"passed","Thu Dec 18 10:02:23 UTC 2025","Thu Dec 18 10:02:23 UTC 2025","4","","eu.fincon.biproadapter.provider.norm421.arena.validation.CustomRequestValidatorTest","","eu.fincon.biproadapter.provider.norm421.arena.validation.CustomRequestValidatorTest","testValidateGetQouteQuestions","testValidateGetQouteQuestions()",""
"passed","Thu Dec 18 10:02:23 UTC 2025","Thu Dec 18 10:02:23 UTC 2025","4","","eu.fincon.biproadapter.provider.norm421.arena.validation.CustomRequestValidatorTest","","eu.fincon.biproadapter.provider.norm421.arena.validation.CustomRequestValidatorTest","testValidateGetOrderQuestions","testValidateGetOrderQuestions()",""
"passed","Thu Dec 18 10:02:23 UTC 2025","Thu Dec 18 10:02:23 UTC 2025","57","","eu.fincon.biproadapter.provider.norm421.arena.validation.CustomRequestValidatorTest","","eu.fincon.biproadapter.provider.norm421.arena.validation.CustomRequestValidatorTest","testValidateGetOfferQuestions","testValidateGetOfferQuestions()",""
"passed","Thu Dec 18 10:02:23 UTC 2025","Thu Dec 18 10:02:23 UTC 2025","6","","eu.fincon.biproadapter.provider.norm421.arena.mapping.CustomMappingAdapterTest","","eu.fincon.biproadapter.provider.norm421.arena.mapping.CustomMappingAdapterTest","testGetQouteQuestions","testGetQouteQuestions()",""
"passed","Thu Dec 18 10:02:23 UTC 2025","Thu Dec 18 10:02:23 UTC 2025","4","","eu.fincon.biproadapter.provider.norm421.arena.mapping.CustomMappingAdapterTest","","eu.fincon.biproadapter.provider.norm421.arena.mapping.CustomMappingAdapterTest","testGetOrderQuestions","testGetOrderQuestions()",""
